seed,target,n,analyst_rmse,method_rmse,analyst_mae,method_mae,method_wins,win_rate_pct
2026,surprise_early,19,4.5195031540496915,3.4144357095049016,2.915968584583762,2.3040681190976984,10,52.63157894736842
2027,surprise_early,19,4.5195031540496915,3.4611034585385965,2.915968584583762,2.3055762751490065,10,52.63157894736842
2028,surprise_early,19,4.5195031540496915,3.610594592454099,2.915968584583762,2.37287592029636,11,57.89473684210527
2026,surprise_print,19,3.874464475163991,3.46739074905442,2.634022339267876,2.237468785117478,11,57.89473684210527
2027,surprise_print,19,3.874464475163991,3.5646990216719945,2.634022339267876,2.397753736706649,9,47.368421052631575
2028,surprise_print,19,3.874464475163991,3.7335016723477894,2.634022339267876,2.417919483098246,11,57.89473684210527
