sample,method,label,n,firms,fvu,mae,fvu_bootstrap_mean,fvu_bootstrap_sd,fvu_ci_low,fvu_ci_high,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_low,mae_ci_high
exact_two_call_19,historical_average,Historical Avg.,19,16,1.635531749408701,13.83047938828613,2.1275049788420004,2.2592555195017865,0.29805240866773447,7.117435388097115,13.847495547858705,4.172064407959149,7.212594122913054,23.239442438334283
exact_two_call_19,ols,OLS,19,16,28.578725115243437,83.92794127750082,37.748212031580785,25.13658624828718,14.47580508089115,112.44604760310476,83.7523028428812,9.925330020207166,64.45757478088886,102.92233653482921
exact_two_call_19,gbt,GBT,19,16,8.21700824019632,45.812706798238395,10.77204618494228,7.0146320650773335,4.8374285822597685,31.262911999015174,45.9315326173603,4.964142142462189,36.564240896256074,56.16708915012055
exact_two_call_19,ensembled_llm,Ensembled LLM,19,16,0.08083719566134069,3.898778031712003,0.10465275505281006,0.06839089778069896,0.03713919868237817,0.3029522681765988,3.9145030071529874,0.7239035150179118,2.6008956947475497,5.4281411444055125
exact_two_call_19,our_method,Our Method,19,16,0.11553982177187709,3.958416356274286,0.14179860878608058,0.08973603840937443,0.026593813472850527,0.37997705662104275,3.9430911227713814,1.0455745608888716,2.1102119880616694,6.085015434373524
full_21,historical_average,Historical Avg.,21,16,1.6822271410070249,16.679432516953277,1.9675788468255946,1.3273166915014363,0.5777627781233132,4.906435748289465,16.68274324719981,4.230568746160282,9.063361880736316,25.61725083107835
full_21,ols,OLS,21,16,21.794649512661397,82.53313349443087,25.77958879014124,11.056581914549179,13.303374136222109,51.71942140022992,82.46070535580849,9.16177613507516,64.98191486946807,100.22333244209193
full_21,gbt,GBT,21,16,6.270182874378896,44.10903290676041,7.333074587894871,2.823550502484381,4.573317551790897,13.988688251082673,44.1672957988678,3.786912377250338,36.77353459373013,51.801127339729945
full_21,ensembled_llm,Ensembled LLM,21,16,0.06039280791411914,3.7787143925871427,0.07381450267648541,0.042462775385816054,0.027805366670996187,0.18288721881222636,3.8074355313873216,0.6657322203088365,2.604787087773325,5.244919418141654
full_21,our_method,Our Method,21,16,0.08435440600252485,3.7729055858540326,0.100232788897153,0.06190313146098219,0.019189646541253803,0.25286875343885434,3.7716613840046254,0.9472591656311737,2.126149359369858,5.768296270527756
