seed,target,n,analyst_rmse,method_rmse,method_wins,win_rate_pct
2026,surprise_early,21,4.644338431374132,3.4730027125614473,11,52.38095238095239
2027,surprise_early,21,4.644338431374132,3.4381628850051142,12,57.14285714285714
2028,surprise_early,21,4.644338431374132,3.6393306307999884,12,57.14285714285714
2026,surprise_print,21,3.9112376294357003,3.4050375973346667,12,57.14285714285714
2027,surprise_print,21,3.9112376294357003,3.591857797370305,10,47.61904761904761
2028,surprise_print,21,3.9112376294357003,3.7594560286271164,12,57.14285714285714
