seed,y,variant,quantity,mean,ci_low,ci_high,p_le_zero
2026,rev_yoy,BASE,r_fwt,0.9633940000028095,0.9124662621820729,0.9923121538314127,0.0
2026,rev_yoy,BASE,skill_fwt,0.897066453840135,0.7359103093461613,0.9831162071365649,0.0
2026,rev_yoy,BASE,syn_corr,-0.06926138036195334,-0.20330380351167893,-0.009213880594976668,0.9906
2026,rev_yoy,BASE,syn_skill,-0.13414707276228705,-0.35731684480853526,-0.01893601181495185,0.99
2027,rev_yoy,BASE,r_fwt,0.9616970882316142,0.900453089149009,0.9909088657827931,0.0
2027,rev_yoy,BASE,skill_fwt,0.8965865725352534,0.715994104466842,0.979967818756214,0.0
2027,rev_yoy,BASE,syn_corr,-0.05002121682998499,-0.1743897918239505,0.0072271423743282435,0.9376
2027,rev_yoy,BASE,syn_skill,-0.057682280453230365,-0.27441002757840793,0.06329879132701861,0.7624
2028,rev_yoy,BASE,r_fwt,0.9616522305846483,0.9053330900076839,0.990425546419515,0.0
2028,rev_yoy,BASE,skill_fwt,0.886089894355612,0.6983641761861543,0.9772335637815922,0.0
2028,rev_yoy,BASE,syn_corr,-0.07052118495668952,-0.22362218169766332,0.006301701665996359,0.9582
2028,rev_yoy,BASE,syn_skill,-0.12407855918385367,-0.4084243602433471,0.05242055841280413,0.9124
2026,rev_yoy,TOOL,r_fwt,0.9641148428053792,0.9116184310147313,0.9912566530792594,0.0
2026,rev_yoy,TOOL,skill_fwt,0.9005019918817985,0.7483221153078765,0.979017306637311,0.0
2026,rev_yoy,TOOL,syn_corr,-0.07096749181945645,-0.2119336908008827,0.0011960695376826084,0.9694
2026,rev_yoy,TOOL,syn_skill,-0.12789194208540672,-0.37019171389199845,0.006081142456822734,0.9594
2027,rev_yoy,TOOL,r_fwt,0.9693109312405428,0.9285791140654902,0.9914851256594582,0.0
2027,rev_yoy,TOOL,skill_fwt,0.9063864053630836,0.7619922799980471,0.9795064961549809,0.0
2027,rev_yoy,TOOL,syn_corr,-0.08263828577395221,-0.23787859974725659,0.003964706665961014,0.9616
2027,rev_yoy,TOOL,syn_skill,-0.15481509163903578,-0.4122042075171434,-0.004092641821249126,0.979
2028,rev_yoy,TOOL,r_fwt,0.9645863306051702,0.9125167015036103,0.9932445723148394,0.0
2028,rev_yoy,TOOL,skill_fwt,0.8819083558999642,0.68201514845523,0.9815088864585441,0.0
2028,rev_yoy,TOOL,syn_corr,-0.08079929647865258,-0.22550772241819209,-0.012356386529456488,0.9982
2028,rev_yoy,TOOL,syn_skill,-0.1576483374372785,-0.403597432393498,-0.02815178005142189,0.9992
2026,surprise_early,BASE,r_fwt,0.6388300025638757,0.16279154109184,0.9243832868520716,0.0106
