y,variant,quantity,mean,ci_low,ci_high,p_le_zero
rev_yoy,BASE,r_fwt,0.9622477729396908,0.9071114985490276,0.9913343198743426,0.0
rev_yoy,BASE,skill_fwt,0.8932476402436667,0.7165592789977016,0.9805440385059468,0.0
rev_yoy,BASE,syn_corr,-0.06326792738287595,-0.2026545130283961,0.004338473841826278,0.9621333333333333
rev_yoy,BASE,syn_skill,-0.10530263746645703,-0.35716884566294294,0.04829364899615991,0.8882666666666666
rev_yoy,TOOL,r_fwt,0.9660040348836972,0.9171354700169679,0.9920917152709868,0.0
rev_yoy,TOOL,skill_fwt,0.8962655843816154,0.7222875215932464,0.9798938266177095,0.0
rev_yoy,TOOL,syn_corr,-0.07813502469068707,-0.22568187936372028,-0.0005535860409501841,0.9764
rev_yoy,TOOL,syn_skill,-0.1467851237205737,-0.3944318070540217,-0.0033616145455262216,0.9792
surprise_early,BASE,r_fwt,0.6107111124422885,0.07767855734029828,0.9093703972737328,0.015933333333333334
surprise_early,BASE,skill_fwt,0.31403301008324064,-0.25041512461756865,0.7641962215814662,0.14726666666666666
surprise_early,BASE,syn_corr,-0.07777906978761015,-0.570879166590949,0.3325898231304423,0.6011333333333333
surprise_early,BASE,syn_skill,-0.05122593105352085,-0.4479356948801339,0.22604501085048906,0.5276
surprise_early,TOOL,r_fwt,0.602578086640227,0.10190821257667301,0.8851199610000748,0.0138
surprise_early,TOOL,skill_fwt,0.29804034078365854,-0.22758545690146847,0.7113930537494229,0.13693333333333332
surprise_early,TOOL,syn_corr,-0.136898183931783,-0.7004820692662147,0.2062113300315093,0.6828666666666666
surprise_early,TOOL,syn_skill,-0.13322943602210147,-0.7738228079557716,0.18129940349347218,0.6383333333333333
surprise_print,BASE,r_fwt,0.12408913873459314,-0.3597302371926591,0.4783095788207507,0.23693333333333333
surprise_print,BASE,skill_fwt,-0.1645522648742896,-0.7049573283079378,0.14169053252041894,0.8186
surprise_print,BASE,syn_corr,0.0269505696018061,-0.3265100432753685,0.41357562406361087,0.46013333333333334
surprise_print,BASE,syn_skill,-0.10461485699928738,-0.595082516890173,0.17547045049290794,0.6784
surprise_print,TOOL,r_fwt,0.2055795302922245,-0.24407358883654598,0.6156337601593914,0.14173333333333332
surprise_print,TOOL,skill_fwt,-0.11259109939461398,-0.6556991305789969,0.30567533156750426,0.7078666666666666
surprise_print,TOOL,syn_corr,0.04628747715645545,-0.5195857293720033,0.8272598135592362,0.5003333333333333
surprise_print,TOOL,syn_skill,-0.08375066062261367,-1.0433171701406276,0.9271304736034026,0.5883333333333334
