y,variant,quantity,mean,ci_low,ci_high,p_le_zero
rev_yoy,BASE,r_fwt,0.9517581429150538,0.8554954135786771,0.9898718939904086,0.0
rev_yoy,BASE,skill_fwt,0.8483487013048432,0.5837580596188265,0.9725440098923372,0.0002666666666666667
rev_yoy,BASE,syn_corr,-0.09119602744011339,-0.3163534984438918,0.0022935962512515896,0.9708666666666667
rev_yoy,BASE,syn_skill,-0.1449728359905352,-0.5360642300595749,0.06421179675022161,0.8917333333333334
rev_yoy,TOOL,r_fwt,0.9578539834447996,0.8753296545885125,0.9911038766933402,0.0
rev_yoy,TOOL,skill_fwt,0.8538572038922253,0.60517319597766,0.9703604338739448,0.00013333333333333334
rev_yoy,TOOL,syn_corr,-0.11002492351420845,-0.3523471642232628,0.004817323576614781,0.9636
rev_yoy,TOOL,syn_skill,-0.19758721768120038,-0.5743026875242486,0.00598514959496212,0.9690666666666666
surprise_early,BASE,r_fwt,0.5742455758475437,-0.104345325358654,0.9203401491637047,0.047466666666666664
surprise_early,BASE,skill_fwt,0.2960799334927389,-0.3854132235942775,0.7911979831807757,0.19126666666666667
surprise_early,BASE,syn_corr,-0.0898133895276701,-0.7096257834519584,0.4466356595284141,0.5623333333333334
surprise_early,BASE,syn_skill,-0.09159461707627417,-0.62247917950258,0.22446070792041628,0.5634666666666667
surprise_early,TOOL,r_fwt,0.5680457040198191,-0.08117464547037818,0.898291814682317,0.040466666666666665
surprise_early,TOOL,skill_fwt,0.27720167509051835,-0.44913862119922165,0.7366311029997815,0.17906666666666668
surprise_early,TOOL,syn_corr,-0.18418953952883543,-0.8236076387016968,0.2923452602876588,0.7646
surprise_early,TOOL,syn_skill,-0.2138371193800354,-0.9580718205231726,0.10273852922807941,0.7694
surprise_print,BASE,r_fwt,0.10477685780075008,-0.45104128397676657,0.5264511067133744,0.2838
surprise_print,BASE,skill_fwt,-0.170998463787857,-0.8746147845290435,0.1852727864466167,0.772
surprise_print,BASE,syn_corr,-0.03197964996175651,-0.3798516725952173,0.3398822736102551,0.5818666666666666
surprise_print,BASE,syn_skill,-0.20338217515544163,-0.8654970554694139,0.1088251857252953,0.8368
surprise_print,TOOL,r_fwt,0.1706279408158831,-0.3849523297176131,0.6266845848507402,0.2062
surprise_print,TOOL,skill_fwt,-0.10427475764869312,-0.6932283596280732,0.30876070819870255,0.6765333333333333
surprise_print,TOOL,syn_corr,-0.015438305238998404,-0.6473134382702533,0.8353962769887107,0.5678
surprise_print,TOOL,syn_skill,-0.18455110155307897,-1.3525213273682246,0.9193888552644653,0.6768
