sample,bootstrap_id,model,label,fvu,mae
full_21,47,TOOL,With tool use,0.03436236765212945,3.539251958643013
full_21,48,BASE,Without tool use,0.08701008237401188,3.3827156441057213
full_21,48,TOOL,With tool use,0.09401114480711759,3.6506492692019683
full_21,49,BASE,Without tool use,0.16568737747881085,4.978599217425369
full_21,49,TOOL,With tool use,0.163572673576907,4.979091805541
full_21,50,BASE,Without tool use,0.20245260545506658,5.056049995278679
full_21,50,TOOL,With tool use,0.19535407188098797,5.121610685708549
full_21,51,BASE,Without tool use,0.04917839967145851,3.205363479567484
full_21,51,TOOL,With tool use,0.04470076121556486,2.9540334311774576
full_21,52,BASE,Without tool use,0.07600048871441742,3.179939137463267
full_21,52,TOOL,With tool use,0.07445310299183291,3.03156235825985
full_21,53,BASE,Without tool use,0.07870138251477671,3.2254453846222346
full_21,53,TOOL,With tool use,0.07864709644067776,3.243607271865358
full_21,54,BASE,Without tool use,0.07196047965693947,3.8562341007835395
full_21,54,TOOL,With tool use,0.07016706378630085,3.7019742289316873
full_21,55,BASE,Without tool use,0.06170162983265927,3.5953001625908687
full_21,55,TOOL,With tool use,0.06460092029778992,3.598532105210094
full_21,56,BASE,Without tool use,0.09264527752893408,3.505088449789655
full_21,56,TOOL,With tool use,0.09224345411125852,3.5540619468543895
full_21,57,BASE,Without tool use,0.03722012359452287,2.508493464019475
full_21,57,TOOL,With tool use,0.037418687524319344,2.4556751088414677
full_21,58,BASE,Without tool use,0.08570660001934269,4.406845257579981
full_21,58,TOOL,With tool use,0.07891398613131384,4.350628582773483
full_21,59,BASE,Without tool use,0.10703301888558542,4.547080054376561
full_21,59,TOOL,With tool use,0.10580942691053136,4.554811166284436
full_21,60,BASE,Without tool use,0.026652522734923807,3.0312743011244403
full_21,60,TOOL,With tool use,0.029268707609440663,3.0566652238895533
full_21,61,BASE,Without tool use,0.04997151934171309,3.0721498848406594
full_21,61,TOOL,With tool use,0.04634725514120596,2.9432977870957084
full_21,62,BASE,Without tool use,0.0876136435015728,3.506183792046366
full_21,62,TOOL,With tool use,0.09209371987932165,3.6576854352440287
full_21,63,BASE,Without tool use,0.09356476805261299,3.8961623768218394
full_21,63,TOOL,With tool use,0.09653458684780522,3.843837688462111
full_21,64,BASE,Without tool use,0.06747256751377313,3.0310699515943726
full_21,64,TOOL,With tool use,0.07032418591353949,3.0899909556760603
full_21,65,BASE,Without tool use,0.353641434453337,4.512372682049491
full_21,65,TOOL,With tool use,0.3352031680509817,4.450997981292207
full_21,66,BASE,Without tool use,0.08883138951373014,4.953146003867687
