sample,bootstrap_id,method,label,fvu,mae
full_21,0,historical_average,Historical Avg.,1.549374373045512,16.173621504370065
full_21,0,ols,OLS,19.58688939379168,76.22396449302038
full_21,0,gbt,GBT,7.2523480606318955,45.98934444133389
full_21,0,ensembled_llm,Ensembled LLM,0.09160780381236969,4.443980691007033
full_21,0,our_method,Our Method,0.06808878268375863,3.4006487284342444
full_21,1,historical_average,Historical Avg.,1.1657386492751256,15.097442785733053
full_21,1,ols,OLS,19.567038517772477,82.62359099999898
full_21,1,gbt,GBT,5.436455269777738,40.92967268298673
full_21,1,ensembled_llm,Ensembled LLM,0.07988342194376002,4.520482985844354
full_21,1,our_method,Our Method,0.13608110080193703,5.241028196765308
full_21,2,historical_average,Historical Avg.,1.3898185385737032,17.5220636844333
full_21,2,ols,OLS,17.110243287121992,91.74224726785263
full_21,2,gbt,GBT,4.699787442000511,45.07806053977533
full_21,2,ensembled_llm,Ensembled LLM,0.07004399399484326,5.342677304929355
full_21,2,our_method,Our Method,0.11061048933812807,5.696244577307847
full_21,3,historical_average,Historical Avg.,1.492626611060605,14.550319825467422
full_21,3,ols,OLS,26.317532306196657,89.15400262876334
full_21,3,gbt,GBT,6.5970381406140355,45.368067633508865
full_21,3,ensembled_llm,Ensembled LLM,0.06984099417552665,3.903070217405387
full_21,3,our_method,Our Method,0.10787145637964535,4.446855121177233
full_21,4,historical_average,Historical Avg.,4.2966806482780315,14.653278530791892
full_21,4,ols,OLS,52.78578368643869,78.14254604960888
full_21,4,gbt,GBT,15.65735935310083,46.312375804067514
full_21,4,ensembled_llm,Ensembled LLM,0.08245389030530924,2.634861961370732
full_21,4,our_method,Our Method,0.0640444761220433,2.2856880736777563
full_21,5,historical_average,Historical Avg.,2.9036935290335526,21.57949834331334
full_21,5,ols,OLS,23.177152856597264,85.82430932986755
full_21,5,gbt,GBT,6.04530728484908,41.08339314321526
full_21,5,ensembled_llm,Ensembled LLM,0.04678307555789409,3.2694139059781433
full_21,5,our_method,Our Method,0.08273601933534473,3.7376329793719436
full_21,6,historical_average,Historical Avg.,3.553162969166662,12.976735604787265
full_21,6,ols,OLS,55.73631134518005,80.60917085866605
full_21,6,gbt,GBT,14.033085500987895,41.506754690575335
full_21,6,ensembled_llm,Ensembled LLM,0.1748554461990951,3.760180451167712
full_21,6,our_method,Our Method,0.12974244551375644,2.9421534996540952
full_21,7,historical_average,Historical Avg.,1.9067878300980277,13.203620991553644
full_21,7,ols,OLS,32.264175803617874,81.89146313203676
full_21,7,gbt,GBT,8.816577199549384,42.91010639042269
full_21,7,ensembled_llm,Ensembled LLM,0.049446536795484775,2.9070396642710263
full_21,7,our_method,Our Method,0.09401585420935626,3.124628454210208
full_21,8,historical_average,Historical Avg.,4.149666979541075,16.67058521518307
full_21,8,ols,OLS,32.1632800473124,67.3799078616067
full_21,8,gbt,GBT,10.201328928776958,38.93985079111154
full_21,8,ensembled_llm,Ensembled LLM,0.08517538846753994,2.876045248657744
full_21,8,our_method,Our Method,0.1193308999503002,2.6442755015019395
full_21,9,historical_average,Historical Avg.,1.0864687892059302,13.815451071004228
full_21,9,ols,OLS,30.063936467737964,91.94726953865309
full_21,9,gbt,GBT,6.278927705345945,40.86516675962844
full_21,9,ensembled_llm,Ensembled LLM,0.05619555058090932,3.5672586828368433
full_21,9,our_method,Our Method,0.1483324589369914,4.607426413619295
full_21,10,historical_average,Historical Avg.,1.4884701918840533,14.521022004358622
full_21,10,ols,OLS,29.335656022992385,88.29248720136684
full_21,10,gbt,GBT,7.656110230245677,43.14513908399406
full_21,10,ensembled_llm,Ensembled LLM,0.05125462537073133,3.167048518405864
full_21,10,our_method,Our Method,0.08869519432078103,3.483756223484868
full_21,11,historical_average,Historical Avg.,0.9225139272168776,13.259432892463199
full_21,11,ols,OLS,18.080593744760854,78.55597501809171
full_21,11,gbt,GBT,5.692297768985735,43.92151196590569
full_21,11,ensembled_llm,Ensembled LLM,0.058181866864953836,3.6417510546159093
full_21,11,our_method,Our Method,0.11809791851999298,4.699392819066224
full_21,12,historical_average,Historical Avg.,1.8956408433843543,19.101282722746767
full_21,12,ols,OLS,18.950853950707046,78.81177007977101
full_21,12,gbt,GBT,7.136232379601427,49.43067655378166
