y,variant,model,rmse,r2,calib_r2,corr,mae,sign
rev_yoy,BASE,N0,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238096
rev_yoy,BASE,N2,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238096
rev_yoy,BASE,fin,8.596449403005524,0.8056271697553564,0.7670198805635348,0.899403943898175,6.588039779285104,0.9047619047619048
rev_yoy,BASE,fin+text,6.456696146343091,0.8906447774811914,0.8713707505315171,0.951521068914816,4.348305174354731,0.9523809523809522
rev_yoy,BASE,fin+x,5.671155438176626,0.915133167095587,0.9044402690705731,0.9635625806106253,4.3561376925575095,1.0
rev_yoy,BASE,fin+x+text,5.800590566536568,0.9116941560930244,0.9061895506936691,0.9641453977651241,3.9130306775578174,0.9841269841269842
rev_yoy,TOOL,N0,25.325438570939255,-0.6822271410070253,,0.13980746140069336,16.679432516953277,0.8095238095238096
rev_yoy,TOOL,N2,21.378462789426433,-0.19873623740078705,,0.28983132686732627,17.848183878418265,0.8095238095238096
rev_yoy,TOOL,fin,8.923073060589813,0.7909928311111037,0.7604908699269973,0.8928383379956631,6.738472671216822,0.9047619047619048
rev_yoy,TOOL,fin+text,6.056444828565887,0.9036907745332973,0.8896353940064706,0.9591529689356557,4.183545420250908,0.9523809523809522
rev_yoy,TOOL,fin+x,5.16468952450473,0.9296975100605979,0.9226020765751409,0.9695325229270852,3.926628121074998,1.0
rev_yoy,TOOL,fin+x+text,5.743789083024011,0.9132277183343324,0.9124281251860996,0.9668692365466441,3.910406682448539,1.0
surprise_early,BASE,N0,6.144289437723084,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
surprise_early,BASE,N2,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.0690490626725926,0.7142857142857143
surprise_early,BASE,fin,3.8558989994971427,0.2350723398449188,0.1397113123921934,0.4871150088963668,2.4492166500208064,0.6984126984126985
surprise_early,BASE,fin+text,3.6656349866604643,0.31612042814775987,0.15131656115146552,0.5962873111412469,2.5084607762729845,0.6666666666666666
surprise_early,BASE,fin+x,3.5384657706500504,0.3629290042228761,0.19695284658463533,0.6254864163362627,2.5376234828618145,0.6031746031746031
surprise_early,BASE,fin+x+text,3.487694671060943,0.38058555483214973,0.300737363664139,0.6519202446456729,2.35054598211567,0.6507936507936508
surprise_early,TOOL,N0,6.144289437723084,-0.920424490460459,,-0.29710933489388053,4.15935345672969,0.5238095238095238
surprise_early,TOOL,N2,4.465093163173866,-0.014179794469222795,,-0.17401585059967642,3.0690490626725926,0.7142857142857143
surprise_early,TOOL,fin,3.899126772274384,0.2203566234252683,0.11254582595410201,0.4791315036519281,2.5114967476261474,0.6666666666666666
surprise_early,TOOL,fin+text,3.6092754530377413,0.3371114531593394,0.19280012614598085,0.6073705856182857,2.4244327595024906,0.7142857142857143
surprise_early,TOOL,fin+x,3.4582080097595447,0.39097767576590936,0.21338858454418788,0.6538181445053541,2.5334854777499847,0.5873015873015873
surprise_early,TOOL,fin+x+text,3.516832076122183,0.3704537427043079,0.2786289877584705,0.6373644978989955,2.421835038885869,0.6507936507936508
surprise_print,BASE,N0,4.661726153061786,-0.7398127262384767,,-0.21261522395104948,3.2944060100588515,0.5714285714285714
surprise_print,BASE,N2,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
surprise_print,BASE,fin,3.673652703257716,-0.08085077958214537,-0.12776068496860557,0.2192150442639218,2.4622860897024053,0.6190476190476191
surprise_print,BASE,fin+text,3.624521391948029,-0.052361473222697796,-0.1535859052592543,0.08414078909356248,2.3849290697976016,0.6984126984126985
surprise_print,BASE,fin+x,3.575068471714831,-0.023906631103053282,-0.15399872884498542,0.22720628714566304,2.5925022213945996,0.5238095238095238
surprise_print,BASE,fin+x+text,3.662226569447773,-0.07447009878763737,-0.22711629419192145,0.13835125785092445,2.4952865944720766,0.5555555555555555
surprise_print,TOOL,N0,4.661726153061786,-0.7398127262384767,,-0.21261522395104948,3.2944060100588515,0.5714285714285714
surprise_print,TOOL,N2,3.5675182703149897,-0.018923079232376905,,-0.1546384234382198,2.4273147305674043,0.7619047619047619
surprise_print,TOOL,fin,3.698550869566263,-0.09566257294567926,-0.12472654889120578,0.2338714801682945,2.443983443881491,0.6349206349206349
surprise_print,TOOL,fin+text,3.605708193705599,-0.041354018468856224,-0.16953342042071431,0.12270084181539563,2.461716557438817,0.7301587301587301
surprise_print,TOOL,fin+x,3.5251221346107022,-0.0012642040882004564,-0.17331091068619417,0.2639360078338245,2.6690794780608917,0.5396825396825397
surprise_print,TOOL,fin+x+text,3.585450474444029,-0.030869805319277004,-0.08082242501611485,0.21093721474322683,2.4523456829304977,0.5873015873015873
