sample,model,label,n,firms,fvu,mae,fvu_bootstrap_mean,fvu_bootstrap_sd,fvu_ci_low,fvu_ci_high,mae_bootstrap_mean,mae_bootstrap_sd,mae_ci_low,mae_ci_high
full_21,fin,H,21,16,0.20579111510637008,6.738450527354347,0.24206839651605905,0.12404916990252883,0.09967852812845275,0.574405424153075,6.7924507681687,1.339928012754966,4.482700436260418,9.750113631782257
full_21,fin+x,H+X,21,16,0.05886343210894123,3.647498652339572,0.07504864413228697,0.04894826215966621,0.022132216378953327,0.20064641547855183,3.667312479489873,0.6820940534529143,2.3648617525913602,5.042890732275539
full_21,fin+text,H+Z,21,16,0.09427429033190299,4.113032022705376,0.1135223157444255,0.06969582856517377,0.022347539458866757,0.2872280984010436,4.1092010855648695,0.9967312216910434,2.304509704135941,6.149143853613769
full_21,fin+x+text,H+X+Z,21,16,0.08435440600252485,3.7729055858540326,0.100232788897153,0.06190313146098219,0.019189646541253803,0.25286875343885434,3.7716613840046254,0.9472591656311737,2.126149359369858,5.768296270527756
exact_two_call_19,fin,H,19,16,0.26730037406665064,6.690561303837725,0.32909489357265054,0.1823639922966109,0.12527943662962476,0.8226421645884914,6.737539122068292,1.4582030341421988,4.1611897196420635,9.877963480796966
exact_two_call_19,fin+x,H+X,19,16,0.07930273057414955,3.8086566813740395,0.10854556137096606,0.08447659221365891,0.028704140180405412,0.36895026847909407,3.8062498514807652,0.723307876967049,2.4227894077282364,5.276638002793105
exact_two_call_19,fin+text,H+Z,19,16,0.12151892752330261,4.08754436524465,0.15141894118214136,0.10018197486236469,0.025767389902224824,0.42246197814797654,4.072143877736926,1.0916046712092229,2.169167871727834,6.363275790951817
exact_two_call_19,fin+x+text,H+X+Z,19,16,0.11553982177187709,3.958416356274286,0.14179860878608058,0.08973603840937443,0.026593813472850527,0.37997705662104275,3.9430911227713814,1.0455745608888716,2.1102119880616694,6.085015434373524
